cell,group in,nuclide,mean,std. dev.
1,1,N15,3.3342198824506436e-07,3.553991606877347e-09
1,1,N14,6.0187295336338405e-05,6.184427105726142e-07
1,1,O17,5.115601449068697e-09,5.4060992570606986e-11
1,1,O16,2.341041291526483e-05,2.8088872287483044e-07
1,1,O18,7.470047791966217e-08,7.786803392326798e-10
1,1,Ar38,8.671006919642122e-10,9.135999856911089e-12
1,1,Ar40,1.776977398271461e-06,1.7201164634133488e-08
1,1,Ar36,4.102968186123511e-09,4.189937106168606e-11
1,1,C13,1.19607186788245e-10,1.3737037058888355e-12
1,1,C12,1.183706419575284e-08,1.3510930619477225e-10
1,2,N15,4.7634424281497616e-07,8.241989104661034e-09
1,2,N14,0.0001056985873253928,1.8582893533569948e-06
1,2,O17,6.99325155616731e-09,1.2179814110936534e-10
1,2,O16,4.3288878355037456e-05,8.123815133299277e-07
1,2,O18,7.237878191920149e-08,1.385737983887943e-09
1,2,Ar38,5.903998232939784e-10,1.1260238731605779e-11
1,2,Ar40,9.17102596610493e-07,2.0578293399681282e-08
1,2,Ar36,3.734164171526479e-09,7.714422756534723e-11
1,2,C13,2.5448333075887946e-10,4.492830564541984e-12
1,2,C12,2.0788269110785157e-08,3.595051494023434e-10
1,3,N15,5.93573204207886e-07,2.1063892229591257e-07
1,3,N14,0.00035074183549343177,0.00012402033007746435
1,3,O17,1.4645747589288936e-08,5.199204988169821e-09
1,3,O16,3.902373606771289e-05,1.3851876841835067e-05
1,3,O18,6.422776363754421e-08,2.279865565631004e-08
1,3,Ar38,1.3183453421862109e-09,4.556890525412442e-10
1,3,Ar40,2.3202960389362366e-07,8.176701718344303e-08
1,3,Ar36,6.454387444147801e-08,2.2372062647169945e-08
1,3,C13,3.755291134908289e-10,1.3331103973881732e-10
1,3,C12,2.7692175888225533e-08,9.829409288449657e-09
1,4,N15,0.0,0.0
1,4,N14,0.0,0.0
1,4,O17,0.0,0.0
1,4,O16,0.0,0.0
1,4,O18,0.0,0.0
1,4,Ar38,0.0,0.0
1,4,Ar40,0.0,0.0
1,4,Ar36,0.0,0.0
1,4,C13,0.0,0.0
1,4,C12,0.0,0.0
1,5,N15,0.0,0.0
1,5,N14,0.0,0.0
1,5,O17,0.0,0.0
1,5,O16,0.0,0.0
1,5,O18,0.0,0.0
1,5,Ar38,0.0,0.0
1,5,Ar40,0.0,0.0
1,5,Ar36,0.0,0.0
1,5,C13,0.0,0.0
1,5,C12,0.0,0.0
1,6,N15,0.0,0.0
1,6,N14,0.0,0.0
1,6,O17,0.0,0.0
1,6,O16,0.0,0.0
1,6,O18,0.0,0.0
1,6,Ar38,0.0,0.0
1,6,Ar40,0.0,0.0
1,6,Ar36,0.0,0.0
1,6,C13,0.0,0.0
1,6,C12,0.0,0.0
1,7,N15,0.0,0.0
1,7,N14,0.0,0.0
1,7,O17,0.0,0.0
1,7,O16,0.0,0.0
1,7,O18,0.0,0.0
1,7,Ar38,0.0,0.0
1,7,Ar40,0.0,0.0
1,7,Ar36,0.0,0.0
1,7,C13,0.0,0.0
1,7,C12,0.0,0.0
1,8,N15,0.0,0.0
1,8,N14,0.0,0.0
1,8,O17,0.0,0.0
1,8,O16,0.0,0.0
1,8,O18,0.0,0.0
1,8,Ar38,0.0,0.0
1,8,Ar40,0.0,0.0
1,8,Ar36,0.0,0.0
1,8,C13,0.0,0.0
1,8,C12,0.0,0.0
