time,Ar41ActOutletFlowrate,Ar41ActTotal
0,0,0
0.0078125,6.3057612599634e-14,3.3453795129194e-08
0.0234375,8.7090638931091e-13,1.0036126259459e-07
0.0546875,7.5012838285429e-12,2.3417554959573e-07
0.1171875,4.8169620770011e-11,5.0179981753068e-07
0.2421875,2.4083758762635e-10,1.0370171931997e-06
0.4921875,9.413782331019e-10,2.1072483797678e-06
0.9921875,2.8804461673271e-09,4.2466274063778e-06
1.4921875,5.0275373003732e-09,6.384819375984e-06
1.9921875,7.2089419792192e-09,8.5218075111894e-06
2.4921875,9.3610057015933e-09,1.0657606701772e-05
2.9921875,1.1476288820166e-08,1.2792235414123e-05
3.4921875,1.3560917556606e-08,1.4925708960285e-05
3.9921875,1.5621113067131e-08,1.7058039461093e-05
4.4921875,1.7668295177556e-08,1.9189233289799e-05
4.9921875,1.9710621042659e-08,2.1319292752468e-05
5.4921875,2.175289360464e-08,2.3448217787508e-05
