material,group in,group out,legendre,nuclide,mean,std. dev.
6,1,1,P0,total,0.25695034145335793,0.00026094621508812983
6,1,1,P1,total,0.1280209302953129,0.00014425325154228638
6,1,2,P0,total,0.0762050764723401,9.103054375212357e-05
6,1,2,P1,total,0.00022172145222138875,3.8190712046836544e-05
6,1,3,P0,total,2.6527650280926625e-05,1.2909628427786622e-06
6,1,3,P1,total,-3.3259521637425395e-07,7.389677746697162e-07
6,1,4,P0,total,0.0,0.0
6,1,4,P1,total,0.0,0.0
6,2,1,P0,total,0.0,0.0
6,2,1,P1,total,0.0,0.0
6,2,2,P0,total,0.5042824562191157,0.0005017647530150067
6,2,2,P1,total,0.07014401003211433,0.00010340576759284144
6,2,3,P0,total,0.000576812906087394,4.323663116052028e-06
6,2,3,P1,total,-0.0001738025255473785,2.760126314523982e-06
6,2,4,P0,total,0.0,0.0
6,2,4,P1,total,0.0,0.0
6,3,1,P0,total,0.0,0.0
6,3,1,P1,total,0.0,0.0
6,3,2,P0,total,0.0,0.0
6,3,2,P1,total,0.0,0.0
6,3,3,P0,total,0.5431475062030666,0.0006631338905112846
6,3,3,P1,total,0.002168679494114916,8.911662570306136e-05
6,3,4,P0,total,0.0006303797339045784,5.118164377965402e-06
6,3,4,P1,total,-0.00015141982025276891,3.3578942175570014e-06
6,4,1,P0,total,0.0,0.0
6,4,1,P1,total,0.0,0.0
6,4,2,P0,total,0.0,0.0
6,4,2,P1,total,0.0,0.0
6,4,3,P0,total,0.0003363913902142604,4.327081253098672e-06
6,4,3,P1,total,-4.9409670354936966e-05,2.369456836862731e-06
6,4,4,P0,total,0.44689969431556315,0.00046234863651605705
6,4,4,P1,total,0.0014396146185988287,8.48889523349385e-05
